scaffold,start,end,length,method,type,type_start,type_end,overlap,overlap/length
ptg002573l,6949197,6949494,297,RepeatMasker,LTR,6948956,6949257,60,0.20
ptg002573l,9332365,9332663,298,RepeatMasker,LTR,9332159,9332715,298,1.00
ptg002573l,10233214,10233521,307,RepeatMasker,LTR,10233369,10233683,153,0.50
ptg002575l,1179434,1179736,302,RepeatMasker,LTR,1179066,1180527,302,1.00
ptg002575l,3866711,3867007,296,RepeatMasker,LTR,3866717,3866761,45,0.15
ptg002577l,1473902,1474177,275,RepeatMasker,LTR,1472783,1474157,255,0.93
ptg002578l,179364,179677,313,RepeatMasker,LTR,178777,179670,306,0.98
ptg002578l,516022,516301,279,RepeatMasker,LTR,515711,516329,279,1.00
ptg002583l,3920707,3921027,320,RepeatMasker,LTR,3920977,3923492,51,0.16
ptg002583l,6946806,6947086,280,RepeatMasker,LTR,6945658,6947099,280,1.00
ptg002583l,7261534,7261814,280,RepeatMasker,LTR,7261297,7262461,280,1.00
ptg002586l,3282528,3282865,337,RepeatMasker,LTR,3281587,3284318,337,1.00
ptg002586l,4008114,4008397,283,RepeatMasker,LTR,4008093,4008137,23,0.08
ptg002588l,774477,774787,310,RepeatMasker,LTR,771095,775878,310,1.00
ptg002594l,4770149,4770449,300,RepeatMasker,LTR,4770200,4770378,179,0.60
ptg002594l,4770149,4770449,300,RepeatMasker,LTR,4770382,4770417,36,0.12
ptg002597l,78925,79244,319,RepeatMasker,LTR,77812,79076,151,0.47
ptg002597l,78925,79244,319,RepeatMasker,LTR,79082,86129,163,0.51
ptg002600l,1050211,1050515,304,RepeatMasker,LTR,1049984,1050839,304,1.00
ptg002601l,1293453,1293753,300,RepeatMasker,LTR,1293316,1293494,41,0.14
ptg002605l,2715856,2716177,321,RepeatMasker,LTR,2715390,2715920,64,0.20
ptg002606l,3023255,3023540,285,RepeatMasker,LTR,3023073,3023307,52,0.18
ptg002608l,1585618,1585918,300,RepeatMasker,LTR,1585410,1585970,300,1.00
ptg002609l,2716073,2716372,299,RepeatMasker,LTR,2715993,2716419,299,1.00
ptg002609l,5145411,5145701,290,RepeatMasker,LTR,5145236,5145753,290,1.00
ptg002609l,5324066,5324365,299,RepeatMasker,LTR,5323986,5324417,299,1.00
ptg002611l,4668603,4668934,331,RepeatMasker,LTR,4668805,4670167,130,0.39
ptg002611l,4668603,4668934,331,RepeatMasker,LTR,4668808,4670353,127,0.38
ptg002618l,539578,539859,281,RepeatMasker,LTR,539183,539892,281,1.00
ptg002618l,919445,919726,281,RepeatMasker,LTR,918400,920529,281,1.00
ptg002622l,2569130,2569438,308,RepeatMasker,LTR,2568739,2570241,308,1.00
ptg002622l,4118552,4118833,281,RepeatMasker,LTR,4118173,4119478,281,1.00
ptg002623l,965068,965383,315,RepeatMasker,LTR,964601,965156,88,0.28
ptg002623l,965068,965383,315,RepeatMasker,LTR,965355,968979,29,0.09
ptg002623l,2709740,2710049,309,RepeatMasker,LTR,2709263,2709763,23,0.07
ptg002624l,1768417,1768710,293,RepeatMasker,LTR,1768210,1768762,293,1.00
ptg002626l,1419754,1420034,280,RepeatMasker,LTR,1418599,1420678,280,1.00
ptg002637l,567289,567579,290,RepeatMasker,LTR,567047,567488,199,0.69
ptg002649l,47519,47804,285,RepeatMasker,LTR,42910,48666,285,1.00
ptg002650l,573180,573479,299,RepeatMasker,LTR,573002,573531,299,1.00
ptg002650l,1456736,1457056,320,RepeatMasker,LTR,1457006,1459538,51,0.16
ptg002650l,1862331,1862627,296,RepeatMasker,LTR,1862221,1862503,172,0.58
ptg002651l,854001,854281,280,RepeatMasker,LTR,852947,854309,280,1.00
ptg002659l,3768054,3768365,311,RepeatMasker,LTR,3767928,3768153,99,0.32
ptg002659l,5764209,5764500,291,RepeatMasker,LTR,5763748,5764432,223,0.77
ptg002659l,5764209,5764500,291,RepeatMasker,LTR,5764426,5765043,75,0.26
ptg002660l,1797604,1797916,312,RepeatMasker,LTR,1797312,1798777,312,1.00
ptg002663l,554735,555037,302,RepeatMasker,LTR,554168,555018,283,0.94
ptg002664l,240895,241176,281,RepeatMasker,LTR,240496,241817,281,1.00
ptg002665l,554686,554967,281,RepeatMasker,LTR,553600,555760,281,1.00
ptg002665l,1471231,1471510,279,RepeatMasker,LTR,1470817,1472309,279,1.00
ptg002666l,359091,359393,302,RepeatMasker,LTR,359164,359544,230,0.76
ptg002666l,2064582,2064872,290,RepeatMasker,LTR,2064204,2065507,290,1.00
ptg002668l,852921,853233,312,RepeatMasker,LTR,852643,853115,194,0.62
ptg002668l,1530596,1530886,290,RepeatMasker,LTR,1529005,1531818,290,1.00
ptg002668l,1820550,1820857,307,RepeatMasker,LTR,1819947,1820660,110,0.36
ptg002668l,1820550,1820857,307,RepeatMasker,LTR,1820808,1821512,50,0.16
ptg002670l,943330,943621,291,RepeatMasker,LTR,942431,946054,291,1.00
ptg002677l,3410697,3411021,324,RepeatMasker,LTR,3410897,3410991,95,0.29
ptg002677l,4579775,4580079,304,RepeatMasker,LTR,4579744,4580657,304,1.00
ptg002678l,1249480,1249777,297,RepeatMasker,LTR,1249300,1249829,297,1.00
ptg002680l,213209,213517,308,RepeatMasker,LTR,213383,216247,135,0.44
ptg002686l,1164132,1164418,286,RepeatMasker,LTR,1162580,1165260,286,1.00
ptg002690l,398392,398673,281,RepeatMasker,LTR,397333,399309,281,1.00
ptg002690l,4547331,4547613,282,RepeatMasker,LTR,4547209,4548728,282,1.00
ptg002692l,440049,440330,281,RepeatMasker,LTR,439863,440390,281,1.00
ptg002698l,79828,80125,297,RepeatMasker,LTR,80105,82490,21,0.07
ptg002701l,159526,159774,248,RepeatMasker,LTR,155366,161468,248,1.00
ptg002701l,159526,159774,248,RepeatMasker,LTR,159469,164827,248,1.00
ptg002703l,1524452,1524751,299,RepeatMasker,LTR,1524255,1524803,299,1.00
ptg002708l,2307838,2308157,319,RepeatMasker,LTR,2307299,2310600,319,1.00
ptg002718l,1119574,1119855,281,RepeatMasker,LTR,1119180,1119888,281,1.00
ptg002722l,2104208,2104488,280,RepeatMasker,LTR,2103123,2105263,280,1.00
ptg002722l,2111388,2111668,280,RepeatMasker,LTR,2110183,2112304,280,1.00
ptg002723l,126916,127209,293,RepeatMasker,LTR,126738,127261,293,1.00
ptg002723l,389349,389648,299,RepeatMasker,LTR,389171,389700,299,1.00
ptg002723l,440233,440537,304,RepeatMasker,LTR,440273,441231,265,0.87
ptg002723l,1090996,1091291,295,RepeatMasker,LTR,1090818,1091343,295,1.00
ptg002723l,1496524,1496820,296,RepeatMasker,LTR,1496346,1496872,296,1.00
ptg002725l,979580,979875,295,RepeatMasker,LTR,979388,979927,295,1.00
ptg002725l,1255832,1256131,299,RepeatMasker,LTR,1255752,1256183,299,1.00
ptg002730l,198576,198848,272,RepeatMasker,LTR,198686,205428,163,0.60
ptg002731l,1311663,1311966,303,RepeatMasker,LTR,1311687,1312111,280,0.92
ptg002732l,2088200,2088489,289,RepeatMasker,LTR,2087933,2088242,42,0.15
ptg002732l,2094498,2094787,289,RepeatMasker,LTR,2092716,2094540,42,0.15
ptg002734l,380903,381192,289,RepeatMasker,LTR,381024,381145,122,0.42
ptg002734l,380903,381192,289,RepeatMasker,LTR,381137,381677,56,0.19
ptg002736l,696766,697057,291,RepeatMasker,LTR,696424,699891,291,1.00
ptg002741l,971245,971546,301,RepeatMasker,LTR,971496,977755,51,0.17
ptg002746l,1772868,1773166,298,RepeatMasker,LTR,1772848,1772891,23,0.08
ptg002746l,3832578,3832878,300,RepeatMasker,LTR,3832269,3832823,245,0.82
ptg002746l,3832578,3832878,300,RepeatMasker,LTR,3832671,3832851,181,0.60
ptg002747l,2577810,2578095,285,RepeatMasker,LTR,2577789,2577833,23,0.08
ptg002747l,4747713,4747996,283,RepeatMasker,LTR,4746093,4748614,283,1.00
ptg002749l,1973346,1973642,296,RepeatMasker,LTR,1973554,1973956,89,0.30
ptg002749l,1973346,1973642,296,RepeatMasker,LTR,1973555,1973769,88,0.30
ptg002749l,2206693,2206990,297,RepeatMasker,LTR,2206515,2207042,297,1.00
ptg002749l,2385438,2385728,290,RepeatMasker,LTR,2384527,2388159,290,1.00
ptg002752l,896482,896769,287,RepeatMasker,LTR,894403,897606,287,1.00
ptg002753l,1002800,1003120,320,RepeatMasker,LTR,1003070,1003945,51,0.16
ptg002753l,1057831,1058111,280,RepeatMasker,LTR,1057356,1058171,280,1.00
ptg002754l,1727849,1728135,286,RepeatMasker,LTR,1726968,1727895,46,0.16
ptg002754l,1727849,1728135,286,RepeatMasker,LTR,1727865,1727931,67,0.23
ptg002754l,1727849,1728135,286,RepeatMasker,LTR,1727878,1728785,258,0.90
ptg002766l,926026,926317,291,RepeatMasker,LTR,925647,926061,35,0.12
ptg002766l,926026,926317,291,RepeatMasker,LTR,926062,926231,170,0.58
ptg002766l,926026,926317,291,RepeatMasker,LTR,926233,927244,85,0.29
ptg002772l,1661383,1661706,323,RepeatMasker,LTR,1661134,1661482,99,0.31
ptg002773l,4394913,4395219,306,RepeatMasker,LTR,4394391,4395902,306,1.00
ptg002786l,2235081,2235374,293,RepeatMasker,LTR,2235072,2235819,293,1.00
ptg002787l,164025,164344,319,RepeatMasker,LTR,162925,164119,94,0.29
ptg002801l,101189,101489,300,RepeatMasker,LTR,101438,101588,52,0.17
ptg002801l,101189,101489,300,RepeatMasker,LTR,99977,101205,16,0.05
ptg002801l,2963796,2964089,293,RepeatMasker,LTR,2963433,2964183,293,1.00
ptg002801l,2963796,2964089,293,RepeatMasker,LTR,2964087,2964313,3,0.01
ptg002804l,966789,967076,287,RepeatMasker,LTR,962077,967938,287,1.00
ptg002806l,1133423,1133713,290,RepeatMasker,LTR,1132946,1133528,105,0.36
ptg002810l,250567,250855,288,RepeatMasker,LTR,250262,252587,288,1.00
ptg002810l,258956,259237,281,RepeatMasker,LTR,258579,260038,281,1.00
ptg002810l,408299,408595,296,RepeatMasker,LTR,407934,409396,296,1.00
ptg002814l,747575,747880,305,RepeatMasker,LTR,747095,747670,95,0.31
ptg002814l,1577148,1577448,300,RepeatMasker,LTR,1577267,1577555,182,0.61
ptg002814l,1577148,1577448,300,RepeatMasker,LTR,1577305,1577555,144,0.48
ptg002818l,1364762,1365054,292,RepeatMasker,LTR,1364339,1366679,292,1.00
ptg002818l,2743423,2743712,289,RepeatMasker,LTR,2743505,2743565,61,0.21
ptg002819l,2137979,2138302,323,RepeatMasker,LTR,2138081,2138222,142,0.44
ptg002823l,575522,575799,277,RepeatMasker,LTR,573732,575789,267,0.96
ptg002823l,575522,575799,277,RepeatMasker,LTR,575461,575919,277,1.00
ptg002829l,1716069,1716389,320,RepeatMasker,LTR,1716339,1722549,51,0.16
ptg002834l,819172,819472,300,RepeatMasker,LTR,819001,819524,300,1.00
ptg002837l,247859,248180,321,RepeatMasker,LTR,243185,249056,321,1.00
ptg002837l,269512,269798,286,RepeatMasker,LTR,268758,270645,286,1.00
ptg002838l,342584,342898,314,RepeatMasker,LTR,341625,347621,314,1.00
ptg002840l,9040,9320,280,RepeatMasker,LTR,8658,10122,280,1.00
ptg002841l,885590,885888,298,RepeatMasker,LTR,885404,886681,298,1.00
ptg002841l,916035,916316,281,RepeatMasker,LTR,915145,916953,281,1.00
ptg002851l,549711,550001,290,RepeatMasker,LTR,549363,551775,290,1.00
ptg002852l,97602,97926,324,RepeatMasker,LTR,97878,101209,49,0.15
ptg002858l,4048658,4048968,310,RepeatMasker,LTR,4048599,4049675,310,1.00
ptg002859l,52774,53049,275,RepeatMasker,LTR,52968,53187,82,0.30
ptg002859l,2040741,2041028,287,RepeatMasker,LTR,2036026,2041868,287,1.00
ptg002862l,1870642,1870943,301,RepeatMasker,LTR,1870707,1871834,237,0.79
ptg002867l,3486060,3486362,302,RepeatMasker,LTR,3486064,3486507,299,0.99
ptg002870l,445185,445466,281,RepeatMasker,LTR,444771,446267,281,1.00
ptg002870l,452710,452991,281,RepeatMasker,LTR,452329,453633,281,1.00
ptg002876l,103450,103766,316,RepeatMasker,LTR,103104,103800,316,1.00
ptg002877l,2360954,2361271,317,RepeatMasker,LTR,2360470,2361417,317,1.00
ptg002882l,1698438,1698718,280,RepeatMasker,LTR,1697759,1698731,280,1.00
ptg002882l,2346502,2346789,287,RepeatMasker,LTR,2346623,2346840,167,0.58
ptg002882l,2346502,2346789,287,RepeatMasker,LTR,2346683,2346928,107,0.37
ptg002886l,2495431,2495735,304,RepeatMasker,LTR,2495609,2498100,127,0.42
ptg002887l,446814,447121,307,RepeatMasker,LTR,445781,447135,307,1.00
ptg002890l,2103802,2104089,287,RepeatMasker,LTR,2100651,2104085,283,0.99
ptg002890l,2103802,2104089,287,RepeatMasker,LTR,2104083,2104310,7,0.02
ptg002894l,1737364,1737692,328,RepeatMasker,LTR,1737089,1738039,328,1.00
ptg002898l,130834,131143,309,RepeatMasker,LTR,131113,133731,31,0.10
ptg002902l,582473,582759,286,RepeatMasker,LTR,581236,583301,286,1.00
ptg002902l,649996,650317,321,RepeatMasker,LTR,649875,651232,321,1.00
ptg002902l,999693,999979,286,RepeatMasker,LTR,999295,1005514,286,1.00
ptg002903l,11535920,11536219,299,RepeatMasker,LTR,11535727,11536271,299,1.00
ptg002908l,3910587,3910917,330,RepeatMasker,LTR,3910856,3911644,62,0.19
ptg002914l,2007698,2007977,279,RepeatMasker,LTR,2007382,2009495,279,1.00
ptg002920l,973389,973691,302,RepeatMasker,LTR,973520,980560,172,0.57
ptg002920l,2276559,2276849,290,RepeatMasker,LTR,2276460,2278318,290,1.00
ptg002920l,6782072,6782362,290,RepeatMasker,LTR,6781162,6784796,290,1.00
ptg002922l,90207,90488,281,RepeatMasker,LTR,90193,91135,281,1.00
ptg002926l,2512298,2512571,273,RepeatMasker,LTR,2511952,2513223,273,1.00
ptg002930l,849674,849976,302,RepeatMasker,LTR,849521,849701,27,0.09
ptg002938l,1088600,1088880,280,RepeatMasker,LTR,1088218,1088913,280,1.00
ptg002939l,1436497,1436778,281,RepeatMasker,LTR,1435580,1437578,281,1.00
ptg002939l,1443671,1443952,281,RepeatMasker,LTR,1442538,1443985,281,1.00
ptg002948l,1527721,1528030,309,RepeatMasker,LTR,1527339,1528683,309,1.00
ptg002949l,4138667,4138963,296,RepeatMasker,LTR,4138938,4139793,26,0.09
ptg002951l,425267,425566,299,RepeatMasker,LTR,425117,425618,299,1.00
ptg002955l,348319,348600,281,RepeatMasker,LTR,347937,348634,281,1.00
ptg002957l,2159001,2159297,296,RepeatMasker,LTR,2155177,2159005,4,0.01
ptg002957l,2159001,2159297,296,RepeatMasker,LTR,2155377,2159912,296,1.00
ptg002961l,404018,404299,281,RepeatMasker,LTR,403707,405098,281,1.00
ptg002961l,411532,411813,281,RepeatMasker,LTR,411150,412457,281,1.00
ptg002965l,6167410,6167728,318,RepeatMasker,LTR,6166941,6168713,318,1.00
ptg002974l,316663,316988,325,RepeatMasker,LTR,316830,317031,159,0.49
ptg002976l,1960693,1961010,317,RepeatMasker,LTR,1959731,1961211,317,1.00
ptg002981l,4350473,4350793,320,RepeatMasker,LTR,4348903,4351651,320,1.00
ptg002988l,225796,226095,299,RepeatMasker,LTR,225618,226147,299,1.00
ptg002989l,589715,590025,310,RepeatMasker,LTR,588273,589916,201,0.65
ptg002991l,971401,971717,316,RepeatMasker,LTR,971457,971524,68,0.22
ptg002993l,641702,642002,300,RepeatMasker,LTR,640949,641763,61,0.20
ptg002993l,1654506,1654793,287,RepeatMasker,LTR,1654581,1654733,153,0.53
ptg002994l,1192053,1192326,273,RepeatMasker,LTR,1191558,1192182,129,0.47
ptg002994l,1192053,1192326,273,RepeatMasker,LTR,1191784,1192325,272,1.00
ptg002996l,1718298,1718638,340,RepeatMasker,LTR,1717834,1720290,340,1.00
ptg003003l,80189,80489,300,RepeatMasker,LTR,79970,80541,300,1.00
ptg003008l,465832,466113,281,RepeatMasker,LTR,464772,466897,281,1.00
ptg003009l,415606,415884,278,RepeatMasker,LTR,415309,418127,278,1.00
ptg003012l,1724159,1724440,281,RepeatMasker,LTR,1723772,1725242,281,1.00
ptg003017l,143750,144047,297,RepeatMasker,LTR,143709,144093,297,1.00
ptg003022l,2710837,2711124,287,RepeatMasker,LTR,2710442,2711759,287,1.00
ptg003026l,1348878,1349175,297,RepeatMasker,LTR,1349125,1349494,51,0.17
ptg003028l,455907,456188,281,RepeatMasker,LTR,454876,456978,281,1.00
ptg003029l,2978289,2978572,283,RepeatMasker,LTR,2978235,2979400,283,1.00
ptg003031l,3059611,3059875,264,RepeatMasker,LTR,3058352,3060311,264,1.00
ptg003032l,280822,281138,316,RepeatMasker,LTR,280911,285012,228,0.72
ptg003034l,149654,149940,286,RepeatMasker,LTR,149322,149725,71,0.25
ptg003034l,149654,149940,286,RepeatMasker,LTR,149767,149800,34,0.12
ptg003034l,215246,215523,277,RepeatMasker,LTR,215514,215645,10,0.04
ptg003034l,215246,215523,277,RepeatMasker,LTR,211817,215513,267,0.96
ptg003034l,869232,869519,287,RepeatMasker,LTR,864581,870376,287,1.00
ptg003036l,840435,840715,280,RepeatMasker,LTR,838381,840764,280,1.00
ptg003039l,638053,638351,298,RepeatMasker,LTR,637857,638403,298,1.00
ptg003047l,611689,611980,291,RepeatMasker,LTR,611769,611822,54,0.19
ptg003047l,5641710,5642009,299,RepeatMasker,LTR,5641534,5642061,299,1.00
ptg003049l,332138,332442,304,RepeatMasker,LTR,331895,332988,304,1.00
ptg003049l,1832347,1832669,322,RepeatMasker,LTR,1831767,1832450,103,0.32
ptg003050l,2197410,2197717,307,RepeatMasker,LTR,2197321,2197608,198,0.64
ptg003051l,2365391,2365674,283,RepeatMasker,LTR,2364386,2366013,283,1.00
ptg003061l,4194635,4194932,297,RepeatMasker,LTR,4193513,4195567,297,1.00
ptg003069l,626295,626605,310,RepeatMasker,LTR,625403,626388,93,0.30
ptg003069l,626295,626605,310,RepeatMasker,LTR,626387,628794,219,0.71
ptg003074l,626004,626293,289,RepeatMasker,LTR,624768,626465,289,1.00
ptg003074l,2061683,2061960,277,RepeatMasker,LTR,2060705,2061837,154,0.56
ptg003074l,2061683,2061960,277,RepeatMasker,LTR,2061843,2062768,118,0.43
ptg003078l,1355450,1355770,320,RepeatMasker,LTR,1355722,1361919,49,0.15
ptg003078l,1556031,1556327,296,RepeatMasker,LTR,1555000,1557110,296,1.00
ptg003084l,702728,703007,279,RepeatMasker,LTR,702347,703040,279,1.00
ptg003084l,1535257,1535579,322,RepeatMasker,LTR,1535417,1535916,163,0.51
ptg003084l,1662061,1662362,301,RepeatMasker,LTR,1661700,1662402,301,1.00
ptg003088l,1674776,1675065,289,RepeatMasker,LTR,1674796,1674878,83,0.29
ptg003088l,1674776,1675065,289,RepeatMasker,LTR,1674816,1674965,150,0.52
ptg003088l,1674776,1675065,289,RepeatMasker,LTR,1674850,1675068,216,0.75
ptg003094l,495282,495588,306,RepeatMasker,LTR,493462,496543,306,1.00
ptg003094l,701137,701435,298,RepeatMasker,LTR,700910,701487,298,1.00
ptg003094l,727722,728021,299,RepeatMasker,LTR,727642,728073,299,1.00
ptg003094l,791028,791327,299,RepeatMasker,LTR,790987,791373,299,1.00
ptg003094l,806879,807174,295,RepeatMasker,LTR,804013,806927,48,0.16
ptg003094l,806879,807174,295,RepeatMasker,LTR,806205,807347,295,1.00
ptg003094l,806879,807174,295,RepeatMasker,LTR,806990,807896,185,0.63
ptg003094l,842647,842945,298,RepeatMasker,LTR,842447,842996,298,1.00
ptg003098l,175199,175498,299,RepeatMasker,LTR,175021,175550,299,1.00
ptg003098l,1460445,1460722,277,RepeatMasker,LTR,1460237,1460712,267,0.96
ptg003098l,1460445,1460722,277,RepeatMasker,LTR,1460384,1460845,277,1.00
ptg003101l,704558,704857,299,RepeatMasker,LTR,704538,704909,299,1.00
ptg003101l,840709,841027,318,RepeatMasker,LTR,840797,840943,147,0.46
ptg003105l,96374,96673,299,RepeatMasker,LTR,96294,96725,299,1.00
ptg003109l,34357,34637,280,RepeatMasker,LTR,33327,36233,280,1.00
ptg003112l,770240,770535,295,RepeatMasker,LTR,770046,770587,295,1.00
ptg003112l,787269,787564,295,RepeatMasker,LTR,787228,787616,295,1.00
ptg003118l,4330260,4330570,310,RepeatMasker,LTR,4328945,4330834,310,1.00
ptg003118l,4330260,4330570,310,RepeatMasker,LTR,4330104,4331083,310,1.00
ptg003121l,181514,181795,281,RepeatMasker,LTR,181132,182440,281,1.00
ptg003122l,943334,943614,280,RepeatMasker,LTR,942289,944254,280,1.00
ptg003124l,5797439,5797720,281,RepeatMasker,LTR,5797402,5798325,281,1.00
ptg003125l,2997022,2997294,272,RepeatMasker,LTR,2996633,2997931,272,1.00
ptg003127l,272059,272364,305,RepeatMasker,LTR,271973,272497,305,1.00
ptg003134l,945752,946059,307,RepeatMasker,LTR,946000,947526,60,0.20
ptg003134l,3005734,3006054,320,RepeatMasker,LTR,3006004,3007401,51,0.16
ptg003134l,7843889,7844172,283,RepeatMasker,LTR,7843510,7844818,283,1.00
ptg003136l,3183706,3184001,295,RepeatMasker,LTR,3183528,3184053,295,1.00
ptg003137l,1080468,1080760,292,RepeatMasker,LTR,1080631,1080974,130,0.45
ptg003143l,5302286,5302585,299,RepeatMasker,LTR,5302108,5302637,299,1.00
ptg003144l,1006597,1006883,286,RepeatMasker,LTR,1006042,1007726,286,1.00
ptg003145l,942858,943172,314,RepeatMasker,LTR,940925,943372,314,1.00
ptg003147l,1708187,1708485,298,RepeatMasker,LTR,1707549,1708287,100,0.34
ptg003154l,591973,592298,325,RepeatMasker,LTR,591713,592124,151,0.46
ptg003158l,26824,27117,293,RepeatMasker,LTR,25071,26866,42,0.14
ptg003158l,26824,27117,293,RepeatMasker,LTR,25902,26866,42,0.14
ptg003160l,1030328,1030623,295,RepeatMasker,LTR,1030097,1030698,295,1.00
ptg003162l,355877,356193,316,RepeatMasker,LTR,354907,357338,316,1.00
ptg003162l,730167,730480,313,RepeatMasker,LTR,730318,730818,163,0.52
ptg003169l,1303169,1303460,291,RepeatMasker,LTR,1302861,1303449,280,0.96
ptg003169l,1303169,1303460,291,RepeatMasker,LTR,1302982,1303214,45,0.15
ptg003176l,73792,74068,276,RepeatMasker,LTR,73877,74143,192,0.70
ptg003176l,2691677,2691976,299,RepeatMasker,LTR,2691469,2692028,299,1.00
ptg003176l,2718713,2719012,299,RepeatMasker,LTR,2718715,2719064,298,1.00
ptg003176l,2793809,2794108,299,RepeatMasker,LTR,2793789,2794142,299,1.00
ptg003177l,1676704,1677001,297,RepeatMasker,LTR,1676624,1677053,297,1.00
ptg003181l,1321541,1321854,313,RepeatMasker,LTR,1321848,1322064,7,0.02
ptg003186l,1769143,1769442,299,RepeatMasker,LTR,1768965,1769476,299,1.00
ptg003186l,2605006,2605302,296,RepeatMasker,LTR,2604813,2605349,296,1.00
ptg003187l,1490670,1490990,320,RepeatMasker,LTR,1490940,1495709,51,0.16
ptg003187l,2617984,2618301,317,RepeatMasker,LTR,2617657,2618035,51,0.16
ptg003187l,2617984,2618301,317,RepeatMasker,LTR,2618031,2618073,43,0.14
ptg003187l,4283267,4283562,295,RepeatMasker,LTR,4283070,4283614,295,1.00
ptg003196l,842302,842601,299,RepeatMasker,LTR,842092,842653,299,1.00
ptg003201l,287156,287442,286,RepeatMasker,LTR,287135,287179,23,0.08
ptg003201l,558250,558548,298,RepeatMasker,LTR,557723,558293,43,0.14
ptg003202l,377345,377625,280,RepeatMasker,LTR,376963,378259,280,1.00
ptg003202l,1346731,1347068,337,RepeatMasker,LTR,1345594,1346741,10,0.03
ptg003202l,1346731,1347068,337,RepeatMasker,LTR,1346769,1347704,300,0.89
ptg003204l,130806,131106,300,RepeatMasker,LTR,129809,131889,300,1.00
ptg003204l,950886,951203,317,RepeatMasker,LTR,950856,950994,108,0.34
ptg003204l,950886,951203,317,RepeatMasker,LTR,950927,951009,83,0.26
ptg003209l,2066659,2066968,309,RepeatMasker,LTR,2065418,2067815,309,1.00
ptg003211l,976973,977295,322,RepeatMasker,LTR,976416,977259,286,0.89
ptg003214l,543644,543954,310,RepeatMasker,LTR,543261,543843,199,0.64
ptg003214l,543644,543954,310,RepeatMasker,LTR,543844,544556,111,0.36
ptg003216l,500106,500414,308,RepeatMasker,LTR,500098,500154,48,0.16
ptg003217l,3911823,3912081,258,RepeatMasker,LTR,3911926,3913198,156,0.60
ptg003217l,5385525,5385791,266,RepeatMasker,LTR,5381342,5388764,266,1.00
ptg003221l,1513546,1513863,317,RepeatMasker,LTR,1513734,1514164,130,0.41
ptg003224l,99458,99786,328,RepeatMasker,LTR,99623,100123,164,0.50
ptg003227l,1290597,1290886,289,RepeatMasker,LTR,1286546,1290752,155,0.54
ptg003227l,4701411,4701704,293,RepeatMasker,LTR,4701495,4701746,210,0.72
ptg003232l,6097756,6098056,300,RepeatMasker,LTR,6097117,6097774,18,0.06
ptg003235l,839198,839493,295,RepeatMasker,LTR,838830,839506,295,1.00
ptg003236l,792857,793127,270,RepeatMasker,LTR,792475,793160,270,1.00
ptg003236l,812776,813057,281,RepeatMasker,LTR,812376,813090,281,1.00
ptg003240l,184975,185271,296,RepeatMasker,LTR,184640,185037,62,0.21
ptg003245l,1488663,1488976,313,RepeatMasker,LTR,1488703,1491430,274,0.88
ptg003246l,112647,112957,310,RepeatMasker,LTR,112415,114354,310,1.00
ptg003247l,146830,147122,292,RepeatMasker,LTR,146465,149952,292,1.00
ptg003257l,1294438,1294741,303,RepeatMasker,LTR,1294515,1294561,47,0.16
ptg003265l,2175983,2176272,289,RepeatMasker,LTR,2175224,2176241,258,0.89
ptg003265l,3279474,3279761,287,RepeatMasker,LTR,3278867,3279664,190,0.66
ptg003265l,3279474,3279761,287,RepeatMasker,LTR,3279538,3279765,224,0.78
ptg003267l,631684,631966,282,RepeatMasker,LTR,631302,632611,282,1.00
ptg003268l,3065150,3065442,292,RepeatMasker,LTR,3065260,3065329,70,0.24
ptg003268l,5574755,5575056,301,RepeatMasker,LTR,5574522,5575129,301,1.00
ptg003271l,1689510,1689820,310,RepeatMasker,LTR,1688995,1689548,38,0.12
ptg003276l,2604423,2604703,280,RepeatMasker,LTR,2604041,2605349,280,1.00
ptg003280l,649015,649331,316,RepeatMasker,LTR,649184,649628,148,0.47
ptg003280l,1031932,1032243,311,RepeatMasker,LTR,1032068,1039152,176,0.57
ptg003284l,835199,835481,282,RepeatMasker,LTR,835319,835819,163,0.58
ptg003290l,1852928,1853240,312,RepeatMasker,LTR,1851783,1853147,219,0.70
ptg003302l,405251,405559,308,RepeatMasker,LTR,405512,405800,48,0.16
ptg003302l,684284,684616,332,RepeatMasker,LTR,683951,684676,332,1.00
ptg003302l,684284,684616,332,RepeatMasker,LTR,684432,684781,185,0.56
ptg003302l,1843493,1843797,304,RepeatMasker,LTR,1842819,1846025,304,1.00
ptg003311l,713655,713961,306,RepeatMasker,LTR,713770,713820,51,0.17
ptg003311l,1154034,1154342,308,RepeatMasker,LTR,1153602,1157618,308,1.00
ptg003311l,2970076,2970373,297,RepeatMasker,LTR,2970352,2970666,22,0.07
ptg003312l,5244401,5244668,267,RepeatMasker,LTR,5237379,5244402,1,0.00
ptg003312l,9332023,9332321,298,RepeatMasker,LTR,9331848,9332373,298,1.00
ptg003314l,2387237,2387522,285,RepeatMasker,LTR,2387216,2387260,23,0.08
ptg003315l,1561603,1561911,308,RepeatMasker,LTR,1561261,1562180,308,1.00
ptg003315l,2328968,2329259,291,RepeatMasker,LTR,2328825,2329188,220,0.76
ptg003318l,415173,415450,277,RepeatMasker,LTR,415366,417467,85,0.31
ptg003319l,171025,171311,286,RepeatMasker,LTR,170654,173048,286,1.00
ptg003321l,2741486,2741807,321,RepeatMasker,LTR,2741785,2741824,23,0.07
